17,does covid have any neurological symptoms
17,what covid symptoms
24,how covid starts
24,if covid wasnt engineered how did it develop
24,how covid started
25,how covid works
25,what covid does
25,how covid affects the body
216,can household pets become infected with covid and then transmit it to other pets and human beings
216,which animals are immune covid
216,what animals can carry covid
183,how do we cope with stress during covid
183,what are your tips for staying productive while staying home during the covid pandemic
183,how do i stay positive with covid
296,are kn 95 masks effective for covid
296,what materials are you using to make homemade face masks for covid
296,what kind of masks are recommended to protect healthcare workers from covid exposure
386,why covid is dangerous
386,why covid so dangerous
386,why of all the history of the plagues is covid more complex and deadlier
405,how different is the covid from a common flu
405,why covid is different than the flu
405,why covid is not the flu
431,which sectors would create jobs following the covid pandemic
431,what industries will never be the same because of covid
431,will most airlines go bankrupt after the covid pandemic
20,have covid checks gone out
20,when covid checks from government
20,have covid checks been issued
32,should covid patients be ventilated
32,should covid patients be intubated
32,what is the survival rate of those infected by covid who are put on a ventilator
53,given the evidence so far will covid most likely go away in the summer
53,will covid come back in the fall
53,will warm weather stop the outbreak of covid
57,is there a test for covid
57,are there any tests that i can purchase to test myself at home for covid
57,where can i get tested for covid
91,how can i protect my child from a covid infection
91,how can i protect my child from covid infection
91,what steps should parents take to protect children
150,how long is someone infectious after recovery from covid symptoms
150,is it possible to spread the covid after recovering from it
150,how long is someone contagious after getting covid
192,should i be tested for covid
192,who should get tested for covid
192,is it imperative to be tested for covid
381,why is it being advised to not take ibuprofen if one has covid
381,should covid patients take ibuprofen
381,should covid patients avoid taking ibuprofen
436,should china be held responsible for the financial and economic liability other countries have suffered due to the covid pandemic
436,should china be held responsible for creating the covid panic in the world
436,why doesnt china apologize for causing covid
447,why are people still going outside with their kids when its not safe (covid)
447,why do some people still ignore that they can get covid virus
447,why are people visiting the beaches during the covid crisis
451,what investment strategies will be promising after the covid outbreak ends
451,what are some investments that can be profitable during the covid pandemic
451,which stocks should i buy during the covid outbreak
462,what is your routine for the covid holidays
462,what are suggestions for things to do in the covid quarantine
462,if you were quarantined due to the covid virus what would you do to entertain yourself
519,did donald trump really suggest injecting disinfectant to fight covid
519,why has trump stated that injecting disinfectant will kill covid in a minute
519,is it true that the president has suggested that people inject with disinfectant to cure covid
19,has covid been in humans for years
19,has covid always existed
19,has covid been around for a while
21,will covid kill me
21,which covid symptoms lead to death
36,when covid started
36,when was the first case of covid confirmed in the usa
310,when was the novel covid first reported
65,does covid go away
65,has anyone actually recovered from the covid virus
65,had covid and recovered
66,what is the proper capitalization for covid
66,should covid be capitalized
66,should covid be all caps
84,can humans get covid from dogs or cats
84,can animals carry the virus that causes covid on their skin or fur
84,can humans become infected with the covid from an animal source
103,is any disinfectant injection available for covid
103,should i spray myself or my kids with disinfectant
103,can disinfectant sprays or wipes be used on my skin injected inhaled or ingested to prevent or treat covid
310,where was covid first identified
310,when was sars cov first identified
348,whats the difference between covid and sars cov 2
348,which covid is sars
348,how are covid and sars cov similar
383,which covid symptoms come first
383,which covid symptoms appear first
383,what are the early symptoms of the covid
474,has president trump failed america throughout the covid outbreak
474,are you confident with the way donald trump is handling the covid epidemic
474,what do trump supporters think of his handling of covid
15,who covid immunity
15,do covid antibodies provide immunity
15,do covid antibodies mean immunity
27,is covid in the air
27,is covid airborne or droplet
27,who covid airborne
60,do covid have cure
60,can covid be cured
60,theres already had a cure in china of covid is it true
61,do covid symptoms come and go
61,do covid symptoms come on fast
61,are covid symptoms sudden
80,can i make my own hand sanitizer
80,should i make my own hand sanitizer if i cant find it in the stores
80,if i cant find hand sanitizer in the store can i make my own
87,how can someone spread covid when asymptomatic
87,can someone spread the virus without being sick
87,can covid be caught from a person who has no symptoms
96,how can we distinguish covid from flu as a patient
96,is it covid or something else
96,how do i know if it is covid or just the common flu
112,why is convalescent plasma being investigated to treat covid
112,how successful was plasma therapy against covid
112,can plasma from covid survivors treat others
140,is it true that o+ blood types are immune to the covid
140,has the link between blood group and the severity of covid effects been confirmed
140,are some blood types able to fight this covid better than other blood types
162,what should i do if i had close contact with someone who has covid
162,what should you do if you suspect you have covid
162,what would you do if you found out you had covid
378,does covid cause irreversible damage to the respiratory system
378,do covid effects last forever
378,what lasting health impact will covid have on those who recover from covid
424,was there a covid 18 before covid
424,what happened to covid 1 18 and will there be a covid 20
424,how does covid vary from covid18 or covid17
428,is china lying about covid
428,does china give correct information to other countries on covid
428,is china being truthful about the number of deaths due to the covid or is it much higher
430,is there any blessing in disguise from this covid pandemic
430,what is 1 good thing that has happened as a result of covid
430,how will the covid pandemic benefit society in the long run
432,how has covid affected your job or career so far
432,how has covid affected your everyday life
432,how has covid impacted you so far
437,how do you think china has recovered from covid so quickly while the rest of the world is struggling
437,what is china doing to stop the spread of covid
437,how can china lower the spreading of covid
454,did covid cost trump his second term
454,how much of a factor will the covid be in the 2020 presidential election
454,in light of the covid pandemic is trump more likely to be re elected
458,will there be a lot of layoffs in the tech industry due to the covid pandemic
458,what would be the impact of covid on the it industry globally
458,how have the large tech companies been affected by covid
486,can a young and healthy person die from a covid infection
486,are children immuned to the new covid
486,are kids getting affected by covid
501,why are stock markets dipping in response to covid
501,what is it that is making the stock market even better amid the covid pandemic
501,why and how is covid affecting the stock market
505,how can the world hold china financially liable for the covid global pandemic
505,will the chinese government be held accountable in any way for the covid virus epidemic
505,what sort of penalty should china pay for causing covid
506,how will life be changed if in the next generations there is still no vaccine for covid
506,what could happen if the cure for covid is not found
506,what happens if lockdown cant prevent from covid for a whole year especially that there is no vaccine and cure
514,are we winning the war against covid
514,how effective is the measure of social distancing in the fight against covid
514,is the covid curve flattening
535,how many deaths do you expect from the covid when the pandemic is finally over
535,can covid reduce the population of humans on earth by half
535,will covid ultimately kill 1000000 in the us
691,why is there no vaccine for the covid virus
691,if the h1n1 vaccine was developed so quickly why does the covid vaccine take so much time
691,if regular flu vaccines can be produced each year why does the covid vaccine need 12 18 months
